epoch	p920	p921	p922
1788095010.089	0/0	0/0	0/0
1788095010.131	0/0	0/0	0/0
1788095010.172	0/0	0/0	0/0
1788095010.214	0/0	0/0	0/0
1788095010.257	0/0	0/0	0/0
1788095010.298	0/0	0/0	0/0
1788095010.361	0/0	0/0	0/0
1788095010.405	0/0	0/0	0/0
1788095010.447	0/0	0/0	0/0
1788095010.489	0/0	0/0	0/0
1788095010.530	0/0	0/0	0/0
1788095010.572	0/0	0/0	0/0
1788095010.614	0/0	0/0	0/0
1788095010.653	0/0	0/0	0/0
1788095010.694	0/0	0/0	0/0
1788095010.733	0/0	0/0	0/0
1788095010.767	0/0	0/0	0/0
1788095010.796	0/0	0/0	0/0
1788095010.824	0/0	0/0	0/0
1788095010.848	0/0	0/0	0/0
1788095010.870	0/0	0/0	0/0
1788095010.890	0/0	0/0	0/0
1788095010.909	0/0	0/0	0/0
1788095010.925	0/0	0/0	0/0
1788095010.941	0/0	0/0	0/0
1788095010.957	0/0	0/0	0/0
1788095010.973	0/0	0/0	0/0
1788095010.989	0/0	0/0	0/0
1788095011.004	0/0	0/0	0/0
1788095011.020	0/0	0/0	0/0
1788095011.036	0/0	0/0	0/0
1788095011.052	0/0	0/0	0/0
1788095011.067	0/0	0/0	0/0
1788095011.083	0/0	0/0	0/0
1788095011.099	0/0	0/0	0/0
1788095011.123	0/0	0/0	0/0
1788095011.146	0/0	0/0	0/0
1788095011.169	0/0	0/0	0/0
1788095011.193	0/0	0/0	0/0
1788095011.218	0/0	0/0	0/0
1788095011.247	0/0	0/0	0/0
1788095011.278	0/0	0/0	0/0
1788095011.313	0/0	0/0	0/0
1788095011.344	0/0	0/0	0/0
1788095011.376	0/0	0/0	0/0
1788095011.409	0/0	0/0	0/0
1788095011.447	0/0	0/0	0/0
1788095011.484	0/0	0/0	0/0
1788095011.517	0/0	0/0	0/0
1788095011.562	0/0	0/0	0/0
1788095011.605	0/0	0/0	0/0
1788095011.654	0/0	0/0	0/0
1788095011.706	0/0	0/0	0/0
1788095011.748	0/0	0/0	0/0
1788095011.807	0/0	0/0	0/0
1788095011.853	0/0	0/0	0/0
1788095011.895	0/0	0/0	0/0
1788095011.940	0/0	0/0	0/0
1788095011.985	0/0	0/0	0/0
1788095012.031	0/0	0/0	0/0
1788095012.070	0/0	0/0	0/0
1788095012.115	0/0	0/0	0/0
1788095012.156	0/0	0/0	0/0
1788095012.200	0/0	0/0	0/0
1788095012.243	0/0	0/0	0/0
1788095012.290	0/0	0/0	0/0
1788095012.358	0/0	0/0	0/0
1788095012.403	0/0	0/0	0/0
1788095012.444	0/0	0/0	0/0
1788095012.485	0/0	0/0	0/0
1788095012.527	0/0	0/0	0/0
1788095012.569	0/0	0/0	0/0
1788095012.610	0/0	0/0	0/0
1788095012.651	0/0	0/0	0/0
1788095012.697	0/0	0/0	0/0
1788095012.739	0/0	0/0	0/0
1788095012.781	0/0	0/0	0/0
1788095012.823	0/0	0/0	0/0
1788095012.871	0/0	0/0	0/0
1788095012.915	0/0	0/0	0/0
1788095012.964	0/0	0/0	0/0
1788095013.008	0/0	0/0	0/0
1788095013.053	0/0	0/0	0/0
1788095013.096	0/0	0/0	0/0
1788095013.137	0/0	0/0	0/0
1788095013.177	0/0	0/0	0/0
1788095013.217	0/0	0/0	0/0
1788095013.259	0/0	0/0	0/0
1788095013.302	0/0	0/0	0/0
1788095013.359	0/0	0/0	0/0
1788095013.413	0/0	0/0	0/0
1788095013.456	0/0	0/0	0/0
1788095013.499	0/0	0/0	0/0
1788095013.542	0/0	0/0	0/0
1788095013.583	0/0	0/0	0/0
1788095013.624	0/0	0/0	0/0
1788095013.665	0/0	0/0	0/0
1788095013.715	0/0	0/0	0/0
1788095013.758	0/0	0/0	0/0
1788095013.797	0/0	0/0	0/0
1788095013.836	0/0	0/0	0/0
1788095013.880	0/0	0/0	0/0
1788095013.925	0/0	0/0	0/0
1788095013.966	0/0	0/0	0/0
1788095014.011	0/0	0/0	0/0
1788095014.055	0/0	0/0	0/0
1788095014.099	0/0	0/0	0/0
1788095014.146	0/0	0/0	0/0
1788095014.187	0/0	0/0	0/0
1788095014.228	0/0	0/0	0/0
1788095014.280	0/0	0/0	0/0
1788095014.344	0/0	0/0	0/0
1788095014.385	0/0	0/0	0/0
1788095014.428	0/0	0/0	0/0
1788095014.471	0/0	0/0	0/0
1788095014.512	0/0	0/0	0/0
1788095014.553	0/0	0/0	0/0
1788095014.593	0/0	0/0	0/0
1788095014.633	0/0	0/0	0/0
1788095014.673	0/0	0/0	0/0
1788095014.716	0/0	0/0	0/0
1788095014.758	0/0	0/0	0/0
1788095014.798	0/0	0/0	0/0
1788095014.842	0/0	0/0	0/0
1788095014.881	0/0	0/0	0/0
1788095014.923	0/0	0/0	0/0
1788095014.965	0/0	0/0	0/0
1788095015.009	0/0	0/0	0/0
1788095015.055	0/0	0/0	0/0
1788095015.099	0/0	0/0	0/0
1788095015.149	0/0	0/0	0/0
1788095015.191	0/0	0/0	0/0
1788095015.232	0/0	0/0	0/0
1788095015.279	0/0	0/0	0/0
1788095015.335	0/0	0/0	0/0
1788095015.376	0/0	0/0	0/0
1788095015.418	0/0	0/0	0/0
1788095015.459	0/0	0/0	0/0
1788095015.500	0/0	0/0	0/0
1788095015.541	0/0	0/0	0/0
1788095015.584	0/0	0/0	0/0
1788095015.626	0/0	0/0	0/0
1788095015.668	0/0	0/0	0/0
1788095015.709	0/0	0/0	0/0
1788095015.750	0/0	0/0	0/0
1788095015.796	0/0	0/0	0/0
1788095015.837	0/0	0/0	0/0
1788095015.878	0/0	0/0	0/0
1788095015.921	0/0	0/0	0/0
1788095015.964	0/0	0/0	0/0
1788095016.007	0/0	0/0	0/0
1788095016.050	0/0	0/0	0/0
1788095016.092	0/0	0/0	0/0
1788095016.134	0/0	0/0	0/0
1788095016.178	0/0	0/0	0/0
1788095016.219	0/0	0/0	0/0
