rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
3	913	31	1366.7	33.3	1283	1	0
3	913	32	1407.7	32.8	1283	1	0
3	913	33	1450.7	34.3	1283	1	0
3	913	34	1491.1	32.9	1283	1	0
3	913	35	1534.4	34.3	1283	1	0
3	913	36	1576.8	34.4	1283	1	0
3	913	37	1639.0	54.4	1283	1	0
3	913	38	1680.5	33.2	1283	1	0
3	913	39	1721.5	33.1	1283	1	0
3	913	40	1762.8	33.7	1283	1	0
3	913	41	1804.6	34.2	1283	1	0
3	913	42	1846.4	34.5	1283	1	0
3	913	43	1891.7	34.6	1283	1	0
3	913	44	1933.7	33.9	1283	1	0
3	913	45	1976.6	34.9	1283	1	0
3	913	46	2018.8	34.5	1283	1	0
3	913	47	2061.9	35.0	1283	1	0
3	913	48	2106.5	35.4	1283	1	0
3	913	49	2151.7	36.5	1283	1	0
3	913	50	2193.8	34.3	1283	1	0
3	913	51	2236.3	34.1	1283	1	0
3	913	52	2276.3	32.7	1283	1	0
3	913	53	2318.6	33.5	1283	1	0
3	913	54	2359.1	33.2	1283	1	0
3	913	55	2401.5	33.7	1283	1	0
3	913	56	2442.5	33.9	1283	1	0
3	913	57	2484.7	33.5	1283	1	0
3	913	58	2526.9	33.5	1283	1	0
3	913	59	2571.0	34.1	1283	1	0
3	913	60	2631.2	51.7	1283	1	0
3	913	61	2672.1	33.1	1283	1	0
3	913	62	2715.0	34.0	1283	1	0
3	913	63	2756.8	33.2	1283	1	0
3	913	64	2799.7	33.6	1283	1	0
3	913	65	2840.6	32.9	1283	1	0
3	913	66	2882.7	33.5	1283	1	0
3	913	67	2925.4	33.7	1283	1	0
3	913	68	2969.7	34.0	1283	1	0
3	913	69	3010.4	33.1	1283	1	0
3	913	70	3555.2	36.7	1283	1	0
3	913	71	4101.3	36.3	1283	1	0
3	913	72	4649.0	37.3	1283	1	0
3	913	73	5196.8	38.4	1282	0	0
3	913	74	5744.3	39.2	1282	0	0
3	913	75	6297.3	43.0	1282	0	0
3	913	76	6843.0	37.1	1282	0	0
3	913	77	7392.3	41.4	1282	0	0
3	913	78	7939.7	41.1	1282	0	0
3	913	79	8488.2	39.8	1282	0	0
3	913	80	9034.2	37.6	1282	0	0
3	913	81	9579.3	37.6	1282	0	0
3	913	82	10127.5	37.7	1282	0	0
3	913	83	10678.0	40.1	1282	0	0
