rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
1	911	72	3005.2	33.2	1283	1	0
1	911	73	3550.5	37.3	1283	1	0
1	911	74	4095.1	36.8	1283	1	0
1	911	75	4640.8	38.1	1283	1	0
1	911	76	5184.6	36.0	1283	1	0
1	911	77	5732.5	39.8	1283	1	0
1	911	78	6286.7	45.7	1283	1	0
1	911	79	6832.8	38.1	1283	1	0
1	911	80	7381.2	40.5	1283	1	0
1	911	81	7924.1	36.4	1283	1	0
1	911	82	8470.5	38.2	1282	0	0
1	911	83	9014.9	37.8	1282	0	0
1	911	84	9562.2	40.8	1282	0	0
1	911	85	10107.4	38.2	1282	0	0
1	911	86	10654.3	38.9	1282	0	0
1	911	87	11198.9	37.0	1282	0	0
1	911	88	11745.2	38.7	1282	0	0
1	911	89	12285.7	33.1	1282	0	0
1	911	90	12829.4	36.0	1282	0	0
1	911	91	13373.3	36.5	1282	0	0
1	911	92	13919.0	38.0	1282	0	0
1	911	93	14466.2	37.1	1282	0	0
1	911	94	15015.9	36.9	1282	0	0
1	911	95	15560.6	36.5	1282	0	0
1	911	96	16105.3	37.2	1282	0	0
1	911	97	16650.2	36.9	1282	0	0
1	911	98	17198.0	40.5	1282	0	0
1	911	99	17743.5	37.8	1282	0	0
2	912	0	43.2	36.7	1283	1	0
2	912	1	83.9	33.0	1283	1	0
2	912	2	129.5	38.4	1283	1	0
2	912	3	169.2	33.2	1283	1	0
2	912	4	212.5	36.3	1283	1	0
2	912	5	255.7	33.3	1283	1	0
2	912	6	297.4	33.0	1283	1	0
2	912	7	339.6	36.1	1283	1	0
2	912	8	385.3	36.7	1283	1	0
2	912	9	427.1	34.0	1283	1	0
2	912	10	471.8	38.4	1283	1	0
2	912	11	512.3	33.3	1283	1	0
2	912	12	558.8	40.1	1283	1	0
2	912	13	600.8	34.2	1283	1	0
2	912	14	661.8	53.6	1283	1	0
2	912	15	701.5	32.1	1283	1	0
2	912	16	742.7	33.8	1283	1	0
2	912	17	782.7	32.7	1283	1	0
2	912	18	825.2	32.0	1283	1	0
2	912	19	868.3	36.8	1283	1	0
2	912	20	907.9	33.7	1283	1	0
2	912	21	947.7	33.9	1283	1	0
2	912	22	989.5	34.7	1283	1	0
2	912	23	1030.1	33.0	1283	1	0
2	912	24	1076.8	39.6	1283	1	0
2	912	25	1119.8	35.4	1283	1	0
2	912	26	1161.9	34.6	1283	1	0
2	912	27	1201.9	32.5	1283	1	0
2	912	28	1241.8	32.7	1283	1	0
2	912	29	1284.7	35.0	1283	1	0
2	912	30	1332.2	39.8	1283	1	0
2	912	31	1373.5	34.0	1283	1	0
2	912	32	1413.8	32.8	1283	1	0
2	912	33	1453.5	32.2	1283	1	0
2	912	34	1493.5	32.9	1283	1	0
2	912	35	1533.3	32.5	1283	1	0
2	912	36	1572.8	32.3	1283	1	0
2	912	37	1634.0	53.1	1283	1	0
2	912	38	1673.4	32.2	1283	1	0
2	912	39	1713.7	32.7	1283	1	0
2	912	40	1755.6	33.7	1283	1	0
2	912	41	1798.7	32.2	1283	1	0
2	912	42	1846.2	38.1	1283	1	0
2	912	43	1885.0	32.5	1283	1	0
2	912	44	1927.4	35.4	1283	1	0
2	912	45	1968.9	34.1	1283	1	0
2	912	46	2008.7	32.8	1283	1	0
2	912	47	2051.4	35.2	1283	1	0
2	912	48	2091.3	32.7	1283	1	0
2	912	49	2131.8	32.7	1283	1	0
2	912	50	2171.9	32.4	1283	1	0
2	912	51	2213.6	33.9	1283	1	0
2	912	52	2254.3	33.5	1283	1	0
2	912	53	2300.8	40.3	1283	1	0
2	912	54	2346.7	39.4	1283	1	0
2	912	55	2395.4	34.1	1283	1	0
2	912	56	2436.0	33.0	1283	1	0
2	912	57	2476.0	32.6	1283	1	0
2	912	58	2518.8	34.9	1283	1	0
2	912	59	2561.5	36.9	1283	1	0
2	912	60	2602.7	33.4	1283	1	0
2	912	61	2662.4	52.4	1283	1	0
2	912	62	2703.1	32.6	1283	1	0
2	912	63	2743.0	32.3	1283	1	0
2	912	64	2784.4	32.7	1283	1	0
2	912	65	2823.6	31.7	1283	1	0
2	912	66	2864.3	33.1	1283	1	0
2	912	67	2905.6	32.5	1283	1	0
2	912	68	2945.3	32.4	1283	1	0
2	912	69	2995.1	40.5	1283	1	0
2	912	70	3039.7	36.0	1283	1	0
