NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.114 actions=output:1
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.115 actions=output:1
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.116 actions=output:1
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.117 actions=output:2
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.118 actions=output:1
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.119 actions=output:2
 cookie=0x0, duration=478.521s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.120 actions=output:2
 cookie=0x0, duration=478.501s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.121 actions=output:1
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.122 actions=output:2
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.123 actions=output:1
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.124 actions=output:1
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.125 actions=output:1
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.126 actions=output:2
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.127 actions=output:2
 cookie=0x0, duration=478.500s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.128 actions=output:2
 cookie=0x0, duration=500.938s, table=0, n_packets=516, n_bytes=41198, idle_age=2, priority=0 actions=CONTROLLER:65535
