test_preflight.PipelineCells.test_a_p4info_naming_a_table_the_bmv2_json_does_not_have_fails	ok
test_preflight.PipelineCells.test_a_p4info_naming_an_action_the_bmv2_json_does_not_have_fails	ok
test_preflight.PipelineCells.test_a_p4info_that_exists_but_does_not_parse_fails_by_name	ok
test_preflight.PipelineCells.test_a_pipeline_escaping_the_package_directory_fails_here_and_not_only_at_bring_up	ok
test_preflight.PipelineCells.test_a_pipeline_missing_one_half_fails	ok
test_preflight.PipelineCells.test_a_pipeline_that_is_a_list_rather_than_an_object_fails	ok
test_preflight.PipelineCells.test_a_ternary_match_says_the_endpoint_answers_501	ok
test_preflight.PipelineCells.test_a_two_program_package_passes_every_check	ok
test_preflight.PipelineCells.test_an_absolute_pipeline_path_fails_here_and_not_only_at_bring_up	ok
test_preflight.PipelineCells.test_each_switch_gets_its_own_row_with_the_p4info_sha_and_the_source	ok
test_preflight.PipelineCells.test_entries_and_pipeline_agreeing_is_its_own_green_row	ok
test_preflight.PipelineCells.test_entries_written_for_another_program_fail	ok
test_preflight.PipelineCells.test_the_printed_sha_is_the_p4infos_own	ok
test_preflight.RenamedRolesTest.test_a_port_too_narrow_for_the_topology_fails_here	ok
test_preflight.RenamedRolesTest.test_the_owned_table_rows_speak_only_of_the_switches_whose_binding_resolved	ok
test_preflight.RenamedRolesTest.test_the_renamed_package_passes_and_binds_the_renamed_names	ok
test_preflight.ReverseControlsTest.test_calc_has_no_ipv4_lpm_and_says_so	ok
test_preflight.ReverseControlsTest.test_multicast_has_no_ipv4_lpm_and_says_so	ok
test_preflight.ReverseControlsTest.test_no_owned_table_row_is_claimed_for_a_table_the_program_does_not_have	ok
test_preflight.TheCooperativeIncludeIsAccepted.test_cooperative_is_possible_on_a_program_that_included_the_header	ok
test_preflight.TheCooperativeRefusal.test_auto_on_the_same_package_is_fine	ok
test_preflight.TheCooperativeRefusal.test_cooperative_on_a_program_with_no_controller_header_fails	ok
test_preflight.TheCooperativeRefusal.test_link_on_the_same_package_is_fine	ok
test_preflight.TheCooperativeRefusal.test_the_failure_names_the_way_out	ok
test_preflight.TheMulticastPackageIsGreen.test_a_clone_session_replica_may_name_the_cpu_port	ok
test_preflight.TheMulticastPackageIsGreen.test_a_clone_session_replica_on_a_port_that_is_neither_fails	ok
test_preflight.TheMulticastPackageIsGreen.test_a_group_id_of_zero_fails	ok
test_preflight.TheMulticastPackageIsGreen.test_a_group_with_no_replicas_fails	ok
test_preflight.TheMulticastPackageIsGreen.test_a_replica_on_a_port_the_model_does_not_build_fails	ok
test_preflight.TheMulticastPackageIsGreen.test_it_converts_and_passes_every_check	ok
test_preflight.TheMulticastPackageIsGreen.test_the_groups_survive_the_conversion	ok
test_preflight.TheMulticastPackageIsGreen.test_the_pre_entries_row_counts_them	ok
test_preflight.TheMulticastPackageIsGreen.test_the_same_port_with_a_second_instance_is_accepted	ok
test_preflight.TheMulticastPackageIsGreen.test_the_same_replica_twice_fails	ok
test_preflight.TheSuggestionTest.test_a_foreign_route_shaped_table_without_roles_gets_one_pasteable_line	ok
test_preflight.TheSuggestionTest.test_the_suggestion_is_not_a_failure	ok
test_preflight.TheSuggestionTest.test_there_is_exactly_one_suggestion_row	ok
test_preflight.TheTelemetryWord.test_a_package_that_declares_nothing_is_a_note_not_a_failure	ok
test_preflight.TheTelemetryWord.test_a_telemetry_that_is_not_an_object_fails	ok
test_preflight.TheTelemetryWord.test_a_word_outside_the_domain_fails	ok
test_preflight.TheTelemetryWord.test_each_word_in_the_domain_is_accepted	ok
test_preflight.ValueWidths.test_a_mac_in_a_32_bit_field_is_refused	ok
test_preflight.ValueWidths.test_a_mac_is_six_bytes_and_an_ipv4_is_four	ok
test_preflight.ValueWidths.test_a_negative_number_is_refused	ok
test_preflight.ValueWidths.test_an_integer_that_does_not_fit_is_refused	ok
test_preflight.ValueWidths.test_the_match_type_names_come_out_of_the_enum	ok
test_run_external_controller.Install.test_every_rewrite_is_printed	ok
test_run_external_controller.Install.test_the_base_class_is_left_alone	ok
test_run_external_controller.Install.test_the_patch_refuses_a_switch_outside_the_package	ok
test_run_external_controller.Install.test_the_patch_rewrites_a_real_construction	ok
test_run_external_controller.Locating.test_a_tree_without_p4runtime_lib_is_refused	ok
test_run_external_controller.Locating.test_the_tutorials_utils_directory_is_found_by_walking_up	ok
test_run_external_controller.Remap.test_a_connection_named_only_by_switch_name_still_lands	ok
test_run_external_controller.Remap.test_a_grpc_base_from_the_package_is_honoured	ok
test_run_external_controller.Remap.test_a_switch_the_package_does_not_declare_is_refused	ok
test_run_external_controller.Remap.test_an_address_outside_the_tutorials_block_is_refused_not_passed_through	ok
test_run_external_controller.Remap.test_device_id_moves_with_the_address	ok
test_run_external_controller.Remap.test_the_address_is_the_pivot_not_the_device_id	ok
test_run_external_controller.Remap.test_the_second_switch_moves_too	ok
test_telemetry_include.TheCommittedP4InfoTest.test_the_exercises_own_table_survived_the_include	ok
test_telemetry_include.TheCommittedP4InfoTest.test_the_five_names_are_there_with_their_widths	ok
test_telemetry_include.TheCommittedP4InfoTest.test_the_ids_are_one_through_five_in_this_program	ok
test_telemetry_include.TheCommittedP4InfoTest.test_the_packet_out_header_is_there_too	ok
test_telemetry_include.TheCommittedP4InfoTest.test_there_is_no_third_controller_header	ok
test_telemetry_include.TheFixtureIsTheSolutionPlusTheIncludeTest.test_every_edit_against_the_solution_is_accounted_for	ok
test_telemetry_include.TheFixtureIsTheSolutionPlusTheIncludeTest.test_nothing_was_removed_from_the_solution	ok
test_telemetry_include.TheFixtureIsTheSolutionPlusTheIncludeTest.test_the_forward_action_is_the_solutions_word_for_word	ok
test_telemetry_include.TheFixtureIsTheSolutionPlusTheIncludeTest.test_the_ipv4_lpm_table_is_the_solutions_word_for_word	ok
test_telemetry_include.TheIncludeAndNdtwinSwitchAgreeTest.test_ndtwin_switch_does_not_include_the_new_file	ok
test_telemetry_include.TheIncludeAndNdtwinSwitchAgreeTest.test_packet_in_header_t_is_declared_identically_in_both	ok
test_telemetry_include.TheIncludeAndNdtwinSwitchAgreeTest.test_packet_out_header_t_is_declared_identically_in_both	ok
test_telemetry_include.TheIncludeAndNdtwinSwitchAgreeTest.test_the_session_the_rate_and_the_cpu_port_agree	ok
test_telemetry_include.TheIncludeCompilesTest.test_the_committed_p4info_is_the_one_this_compiler_produces	ok
test_telemetry_include.TheIncludeCompilesTest.test_the_fixture_compiles	ok
test_telemetry_include.TheIncludeCompilesTest.test_the_freshly_compiled_p4info_carries_the_five_names	ok
test_telemetry_include.TheIncludeCompilesTest.test_the_solution_without_the_include_declares_no_controller_header	ok
