part	poll_mono	written_mono	status	last_heard_mono
quiet	48273.642330	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48273.742692	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48273.843134	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48273.943629	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.044101	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.144495	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.244864	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.345154	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.445427	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.545719	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.646033	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.746477	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.846812	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48274.947168	48274.907390	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48275.047513	48274.907390	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48275.147845	48274.907390	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48275.248180	48274.907390	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48275.348524	48274.907390	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48275.448850	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48275.549211	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48275.649665	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48275.749988	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48275.850333	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48275.950696	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48276.051180	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48276.151640	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48276.252075	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
quiet	48276.352404	48275.408102	running	1:3>3:1=48274.907748,1:4>4:2=48274.907758,2:3>4:1=48274.907755,2:4>3:2=48274.907752,3:1>1:3=48274.907716,3:2>2:4=48274.907745,4:1>2:3=48274.907741,4:2>1:4=48274.907736
