part	poll_mono	written_mono	status	last_heard_mono
single	48588.255155	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.355519	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.455964	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.556325	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.656669	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.757012	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.857351	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.957689	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.058031	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.158368	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.258746	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.359219	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.459645	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.559974	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.660321	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.760640	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.860911	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48589.961174	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.061443	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.161723	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.261991	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.362252	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.462519	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.562797	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.663069	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.763339	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.863596	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48590.963868	48590.922461	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48591.064128	48590.922461	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48591.164423	48590.922461	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48591.264774	48590.922461	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48591.365095	48590.922461	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48591.465445	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48591.565723	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48591.665998	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48591.766272	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48591.866544	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48591.966813	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.067131	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.167476	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.267821	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.368150	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.468451	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.568831	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.669192	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.769476	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.869758	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48592.970061	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.070417	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.170720	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.271061	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.371345	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.471635	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.571997	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.672347	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.772621	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.872949	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48593.973364	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.073806	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.174143	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.274469	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.374859	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.475339	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
single	48594.575680	48591.423589	running	1:3>3:1=48575.923622,3:1>1:3=48590.922955
